time,constraintPositionNorm,constraintVelocityNorm,systemEnergy,
0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 0.0000000000000000e+00, 
2.9999999999999999e-02, 3.0032526552743020e-10, 1.4907930070245390e-10, 5.1494216529723857e-09, 
5.9999999999999998e-02, 6.0658875802342745e-10, 6.1805773813427624e-10, 9.7294809986436803e-09, 
8.9999999999999997e-02, 9.4430470959672921e-10, 1.3119806089213743e-09, 1.1183017956106767e-08, 
1.2000000000000000e-01, 1.3366452286034610e-09, 1.9414328560211296e-09, 5.5647808583358938e-09, 
1.4999999999999999e-01, 1.7157437418308007e-09, 2.2219078379757055e-09, -5.8585716278258815e-09, 
1.7999999999999999e-01, 1.9055584193171886e-09, 2.5644386615053861e-09, -1.0979741560390721e-08, 
2.0999999999999999e-01, 1.8004086894873471e-09, 3.4188276446724593e-09, -1.6481216391639464e-10, 
2.3999999999999999e-01, 1.4975847966069911e-09, 4.2480199470564976e-09, 1.7546619268671293e-08, 
2.7000000000000002e-01, 1.1736773803553683e-09, 4.8527939760156460e-09, 2.6429393784610511e-08, 
2.9999999999999999e-01, 9.2859410297762341e-10, 5.4589054166330957e-09, 1.9976178045055804e-08, 
3.2999999999999996e-01, 7.7468206492044792e-10, 6.3263517605676578e-09, -1.0647465131796707e-09, 
3.5999999999999999e-01, 6.5855912160944331e-10, 7.8241764541312877e-09, -3.3775663155211078e-08, 
3.9000000000000001e-01, 4.5212334276937358e-10, 1.0529742530170367e-08, -7.2405196505087588e-08, 
4.1999999999999998e-01, 1.6220493771255666e-10, 1.4790025469214163e-08, -1.0541295836219433e-07, 
4.4999999999999996e-01, 9.4508233538867539e-10, 1.9760344055713751e-08, -1.1052117621090929e-07, 
4.7999999999999998e-01, 1.9429263808361130e-09, 2.2012379692220488e-08, -3.1008831058443320e-08, 
5.1000000000000001e-01, 1.6604863229003881e-09, 2.5859401132143419e-08, 2.8948802111017358e-07, 
5.4000000000000004e-01, 4.4119391951189120e-09, 8.6884950213604521e-08, 8.7404427517867589e-07, 
5.6999999999999995e-01, 1.7171926322689936e-08, 6.9200623477895176e-08, 6.7174944717862672e-08, 
5.9999999999999998e-01, 7.1531985290964693e-09, 1.6108535753573070e-07, 1.6010760504059363e-06, 
6.3000000000000000e-01, 5.4770213418390536e-09, 1.8387407749909390e-07, 2.1511800731843778e-06, 
6.5999999999999992e-01, 1.7326137028743749e-08, 1.9964663920862125e-07, 1.5872468175359700e-06, 
6.8999999999999995e-01, 2.4834877033643094e-08, 1.9782835116183818e-07, 2.2616433987820983e-06, 
7.1999999999999997e-01, 2.7201866131760410e-08, 2.0943150498082899e-07, 2.5755578008102020e-06, 
7.5000000000000000e-01, 2.9381395402119849e-08, 2.1782596133531967e-07, 2.6804794046597635e-06, 
7.8000000000000003e-01, 3.2402871269020520e-08, 2.2411237567255234e-07, 2.7066360814842483e-06, 
8.0999999999999994e-01, 3.6345011278232190e-08, 2.2822155406045551e-07, 2.6258656902200528e-06, 
8.3999999999999997e-01, 4.1458816906704269e-08, 2.3272347572304311e-07, 2.1645280874338368e-06, 
8.7000000000000000e-01, 4.6433574028072208e-08, 2.5453907760689264e-07, 1.5313712165010429e-06, 
8.9999999999999991e-01, 4.6962977799871573e-08, 3.0309681866978146e-07, 3.0805714175130561e-06, 
9.2999999999999994e-01, 4.9724491334617471e-08, 3.6874408142886690e-07, 3.9018425379566679e-06, 
9.5999999999999996e-01, 6.0078318666844349e-08, 3.9654876099409972e-07, 2.9163929280429102e-06, 
9.8999999999999999e-01, 6.9223456224000269e-08, 4.0397925551885294e-07, 2.8269612482034745e-06, 
1.0200000000000000e+00, 7.6443639781439411e-08, 4.0662846700357081e-07, 2.9883473882108547e-06, 
1.0500000000000000e+00, 8.3299768379734138e-08, 4.0805723682978026e-07, 3.0887109536692492e-06, 
1.0800000000000001e+00, 9.0442365699916596e-08, 4.0895807936595497e-07, 3.1334312859954139e-06, 
1.1099999999999999e+00, 9.8030335975426939e-08, 4.0951416603217718e-07, 3.1533924493842846e-06, 
1.1399999999999999e+00, 1.0608925047442387e-07, 4.0984064189986786e-07, 3.1649354816920550e-06, 
1.1699999999999999e+00, 1.1463050926695920e-07, 4.1008042750334127e-07, 3.1756298790597270e-06, 
1.2000000000000000e+00, 1.2368808019646145e-07, 4.1043913282753329e-07, 3.1898299397425944e-06, 
1.2300000000000000e+00, 1.3332740904452205e-07, 4.1118603385937260e-07, 3.2090992885258629e-06, 
1.2600000000000000e+00, 1.4360825427871923e-07, 4.1245284361545759e-07, 3.2227465172063319e-06, 
1.2900000000000000e+00, 1.5442796360388627e-07, 4.1339634487680701e-07, 3.1978462889936665e-06, 
1.3199999999999998e+00, 1.6535341312051288e-07, 4.1192031468209739e-07, 3.1516860333757890e-06, 
1.3499999999999999e+00, 1.7609085141625568e-07, 4.0898829934405100e-07, 3.2097315365575696e-06, 
1.3799999999999999e+00, 1.8705736037220074e-07, 4.0828924117262199e-07, 3.3181082563782383e-06, 
1.4099999999999999e+00, 1.9857331239684135e-07, 4.0943680193744512e-07, 3.3535701222664471e-06, 
1.4399999999999999e+00, 2.1054165880798193e-07, 4.1076535248930864e-07, 3.3450936118839536e-06, 
1.4700000000000000e+00, 2.2280624865902648e-07, 4.1174989797589193e-07, 3.3315559613278367e-06, 
1.5000000000000000e+00, 2.3524727474414166e-07, 4.1238566929763532e-07, 3.3220473083517277e-06, 
1.5300000000000000e+00, 2.4775620442160735e-07, 4.1276101543830586e-07, 3.3164101456151229e-06, 
1.5600000000000001e+00, 2.6021083943835146e-07, 4.1292826363499771e-07, 3.3120780917883508e-06, 
1.5899999999999999e+00, 2.7245797307230374e-07, 4.1282854758898981e-07, 3.3034755944072458e-06, 
1.6199999999999999e+00, 2.8431524937380646e-07, 4.1220995694379144e-07, 3.2816867285845319e-06, 
1.6499999999999999e+00, 2.9562381456229130e-07, 4.1055817422243232e-07, 3.2385023924774714e-06, 
1.6799999999999999e+00, 3.0638077878904077e-07, 4.0714355315119290e-07, 3.1766644106312469e-06, 
1.7100000000000000e+00, 3.1690198304839695e-07, 4.0131990919113959e-07, 3.1195734102595907e-06, 
1.7400000000000000e+00, 3.2780631392301513e-07, 3.9299601144026657e-07, 3.1019759934025615e-06, 
1.7700000000000000e+00, 3.3960312429408963e-07, 3.8281200126642736e-07, 3.1307200156760473e-06, 
1.7999999999999998e+00, 3.5217183333196406e-07, 3.7183087498103489e-07, 3.1475202195707652e-06, 
1.8299999999999998e+00, 3.6510931548140903e-07, 3.6157307297536797e-07, 3.0665800636597851e-06, 
1.8599999999999999e+00, 3.7961339166055596e-07, 3.5497135642310583e-07, 3.0228953384892066e-06, 
1.8899999999999999e+00, 4.0091977589485436e-07, 3.5934963544010519e-07, 5.0398302917642468e-06, 
1.9199999999999999e+00, 4.1520766927376585e-07, 5.1596879239451491e-07, 1.5019877640298773e-05, 
1.9500000000000000e+00, 4.1856026016174364e-07, 6.1669017072973729e-07, 1.0482692957225481e-05, 
1.9800000000000000e+00, 4.4733861549474637e-07, 7.1709611768077698e-07, 2.2472457715139171e-05, 
2.0099999999999998e+00, 4.5920749947449396e-07, 6.4849531586613551e-07, 2.1571198562497784e-05, 
2.0400000000000000e+00, 4.8016690870255729e-07, 4.9917604992799941e-07, 2.9162051969677805e-05, 
2.0699999999999998e+00, 5.0700935819731996e-07, 5.0360230023474937e-07, 3.0932848932962997e-05, 
2.1000000000000001e+00, 5.2728621349041755e-07, 5.0721829512784307e-07, 3.1140821482367187e-05, 
2.1299999999999999e+00, 5.4419748737290213e-07, 5.0315376204764676e-07, 3.1288487381431196e-05, 
2.1600000000000001e+00, 5.5955607696743076e-07, 4.9903622790512853e-07, 3.1484889541744110e-05, 
2.1899999999999999e+00, 5.7300100122489708e-07, 4.9727325409803025e-07, 3.1641694315354130e-05, 
2.2199999999999998e+00, 5.8408725670884639e-07, 4.9674488306898820e-07, 3.1714325425369339e-05, 
2.2500000000000000e+00, 5.9306779968302403e-07, 4.9613672289814155e-07, 3.1729262410351566e-05, 
2.2799999999999998e+00, 6.0056593880287026e-07, 4.9520955212433879e-07, 3.1735494321338820e-05, 
2.3100000000000001e+00, 6.0706989361788071e-07, 4.9428948284682102e-07, 3.1763247749339030e-05, 
2.3399999999999999e+00, 6.1277493904915536e-07, 4.9360463325477216e-07, 3.1818598246857732e-05, 
2.3700000000000001e+00, 6.1768461855465732e-07, 4.9314249627247185e-07, 3.1896382289176017e-05, 
2.3999999999999999e+00, 6.2174259733720853e-07, 4.9286928430647901e-07, 3.1990291033068274e-05, 
2.4299999999999997e+00, 6.2489887477658192e-07, 4.9317869369289942e-07, 3.2091340532502954e-05, 
2.4600000000000000e+00, 6.2714611790677683e-07, 4.9554175448177319e-07, 3.2171860163465738e-05, 
2.4899999999999998e+00, 6.2873723848151270e-07, 5.0149085501430697e-07, 3.2216613291780050e-05, 
2.5200000000000000e+00, 6.3063367495645607e-07, 5.0710712975344333e-07, 3.2591770208423299e-05, 
2.5499999999999998e+00, 6.3190298707523630e-07, 5.1322381811376957e-07, 3.3450164868886745e-05, 
2.5800000000000001e+00, 6.2890828683548451e-07, 5.1149761589925372e-07, 3.3396558831277900e-05, 
2.6099999999999999e+00, 6.2534443925002350e-07, 4.9558953267842882e-07, 3.3226350548920536e-05, 
2.6399999999999997e+00, 6.2342423388749906e-07, 4.8597723939505458e-07, 3.3284986238779624e-05, 
2.6699999999999999e+00, 6.2221472302690515e-07, 4.8303558795705998e-07, 3.3353751351716809e-05, 
2.6999999999999997e+00, 6.2119413151429392e-07, 4.8238120380896700e-07, 3.3392410702992592e-05, 
2.7300000000000000e+00, 6.2037614789345406e-07, 4.8218591064227040e-07, 3.3413936192827620e-05, 
2.7599999999999998e+00, 6.1993960216847482e-07, 4.8194765289148307e-07, 3.3427856798606825e-05, 
2.7900000000000000e+00, 6.2009316111349656e-07, 4.8151588453627179e-07, 3.3438004129582310e-05, 
2.8199999999999998e+00, 6.2105474964620921e-07, 4.8075823453404382e-07, 3.3446002379644568e-05, 
