time,systemEnergy,
0.0000000000000000e+00, 0.0000000000000000e+00, 
2.9999999999999999e-02, 7.6010309157936717e-12, 
5.9999999999999998e-02, 1.4865442210520996e-11, 
8.9999999999999997e-02, 2.1498358648841531e-11, 
1.2000000000000000e-01, 2.7265301127954444e-11, 
1.4999999999999999e-01, 3.2003732997054612e-11, 
1.7999999999999999e-01, 3.5675462584094930e-11, 
2.0999999999999999e-01, 3.8375524979983311e-11, 
2.3999999999999999e-01, 4.0370373710629792e-11, 
2.7000000000000002e-01, 4.2098768915366236e-11, 
2.9999999999999999e-01, 4.4153125600132626e-11, 
3.2999999999999996e-01, 4.7226222932295059e-11, 
3.5999999999999999e-01, 5.2031268182872736e-11, 
3.9000000000000001e-01, 5.9194427137754246e-11, 
4.1999999999999998e-01, 6.9140249081556249e-11, 
4.4999999999999996e-01, 8.1993078993036761e-11, 
4.7999999999999998e-01, 9.7503338736260048e-11, 
5.1000000000000001e-01, 1.1506351427215122e-10, 
5.4000000000000004e-01, 1.3375967000683886e-10, 
5.6999999999999995e-01, 1.5251266916038730e-10, 
5.9999999999999998e-01, 1.7023360499024420e-10, 
6.3000000000000000e-01, 1.8599255469098352e-10, 
6.5999999999999992e-01, 1.9914025983780448e-10, 
6.8999999999999995e-01, 2.0940227329901973e-10, 
7.1999999999999997e-01, 2.1686119566766138e-10, 
7.5000000000000000e-01, 2.2191581905417479e-10, 
7.8000000000000003e-01, 2.2517721021131365e-10, 
8.0999999999999994e-01, 2.2735413551799866e-10, 
8.3999999999999997e-01, 2.2914115049843531e-10, 
8.7000000000000000e-01, 2.3114044012118029e-10, 
8.9999999999999991e-01, 2.3380408720186097e-10, 
9.2999999999999994e-01, 2.3741186794268287e-10, 
9.5999999999999996e-01, 2.4207835735978733e-10, 
9.8999999999999999e-01, 2.4777513374374394e-10, 
1.0200000000000000e+00, 2.5435298312004306e-10, 
1.0500000000000000e+00, 2.6157653820746418e-10, 
1.0800000000000001e+00, 2.6916069373328355e-10, 
1.1099999999999999e+00, 2.7678837000166823e-10, 
1.1399999999999999e+00, 2.8413893460310646e-10, 
1.1699999999999999e+00, 2.9091307141015932e-10, 
1.2000000000000000e+00, 2.9685942593005166e-10, 
1.2300000000000000e+00, 3.0180213883568285e-10, 
1.2600000000000000e+00, 3.0567193221031630e-10, 
1.2900000000000000e+00, 3.0854163668436740e-10, 
1.3199999999999998e+00, 3.1064217864695820e-10, 
1.3499999999999999e+00, 3.1238034381431135e-10, 
1.3799999999999999e+00, 3.1432279001819552e-10, 
1.4099999999999999e+00, 3.1714630921442222e-10, 
1.4399999999999999e+00, 3.2156943774452884e-10, 
1.4700000000000000e+00, 3.2824498674699498e-10, 
1.5000000000000000e+00, 3.3764457896268141e-10, 
1.5300000000000000e+00, 3.4994940278920694e-10, 
1.5600000000000001e+00, 3.6499159250524826e-10, 
1.5899999999999999e+00, 3.8222047749059129e-10, 
1.6199999999999999e+00, 4.0077985374864511e-10, 
1.6499999999999999e+00, 4.1960923624628776e-10, 
1.6799999999999999e+00, 4.3760373102941230e-10, 
1.7100000000000000e+00, 4.5379167090686678e-10, 
1.7400000000000000e+00, 4.6746961857024871e-10, 
1.7700000000000000e+00, 4.7828407900851744e-10, 
1.7999999999999998e+00, 4.8625281579006696e-10, 
1.8299999999999998e+00, 4.9172399485541973e-10, 
1.8599999999999999e+00, 4.9527315582054143e-10, 
1.8899999999999999e+00, 4.9760195963699516e-10, 
1.9199999999999999e+00, 4.9941295543476372e-10, 
1.9500000000000000e+00, 5.0133230899973569e-10, 
1.9800000000000000e+00, 5.0384230121380824e-10, 
2.0099999999999998e+00, 5.0725645905913552e-10, 
2.0400000000000000e+00, 5.1172044379654835e-10, 
2.0699999999999998e+00, 5.1722803817710883e-10, 
2.1000000000000001e+00, 5.2365223268679983e-10, 
2.1299999999999999e+00, 5.3077631179121454e-10, 
2.1600000000000001e+00, 5.3831517021762920e-10, 
2.1899999999999999e+00, 5.4595794551914878e-10, 
2.2199999999999998e+00, 5.5338578164310093e-10, 
2.2500000000000000e+00, 5.6029136885626940e-10, 
2.2799999999999998e+00, 5.6641091816800326e-10, 
2.3100000000000001e+00, 5.7155258303964729e-10, 
2.3399999999999999e+00, 5.7562576927239206e-10, 
2.3700000000000001e+00, 5.7867310943038319e-10, 
2.3999999999999999e+00, 5.8089355547963351e-10, 
2.4299999999999997e+00, 5.8266103053483675e-10, 
2.4600000000000000e+00, 5.8451199436149182e-10, 
2.4899999999999998e+00, 5.8711346895279348e-10, 
2.5200000000000000e+00, 5.9117866157976096e-10, 
2.5499999999999998e+00, 5.9738169966294663e-10, 
2.5800000000000001e+00, 6.0623861486419628e-10, 
2.6099999999999999e+00, 6.1799276807050774e-10, 
2.6399999999999997e+00, 6.3254468329887459e-10, 
2.6699999999999999e+00, 6.4941918509475727e-10, 
2.6999999999999997e+00, 6.6780536656096956e-10, 
2.7300000000000000e+00, 6.8666849983856082e-10, 
2.7599999999999998e+00, 7.0490280279500439e-10, 
2.7900000000000000e+00, 7.2149575203184213e-10, 
2.8199999999999998e+00, 7.3568884317865013e-10, 
2.8500000000000001e+00, 7.4705930330765113e-10, 
2.8799999999999999e+00, 7.5555295353524343e-10, 
2.9099999999999997e+00, 7.6145845184782956e-10, 
2.9399999999999999e+00, 7.6532202797352511e-10, 
2.9699999999999998e+00, 7.6782757929549916e-10, 
3.0000000000000000e+00, 7.6968564854951182e-10, 
